Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1642.4252240844714
FDW14,OUT017,1339.9648199104895
NCN55,OUT010,788.9370305874619
FDQ58,OUT017,2551.296717120574
FDY38,OUT027,5737.436075200352
FDH56,OUT046,1874.8044530878917
FDL48,OUT018,622.1410480485919
FDC48,OUT027,2133.730303223355
FDN33,OUT045,1498.0462586847614
FDA36,OUT017,3088.399080391603
FDT44,OUT017,1936.1070117397728
FDQ56,OUT045,1294.8800857227757
NCC54,OUT019,661.2774717313989
FDU11,OUT049,2114.5999847754615
DRL59,OUT013,800.1934856460393
FDM24,OUT049,2407.915663151737
FDI57,OUT045,3114.780197180205
DRC12,OUT018,2883.255893442891
NCM42,OUT027,2719.2771237538273
FDA46,OUT010,292.5176673285432
FDA31,OUT013,2821.006697201711
NCJ31,OUT035,3693.2173745830655
FDG52,OUT046,854.0263716675439
NCL19,OUT019,401.6715004878308
FDS10,OUT035,3020.1333225959047
FDX22,OUT010,799.8788519969066
NCF19,OUT035,891.9794808965586
NCE06,OUT046,2501.2440105144087
DRC27,OUT046,3889.1223536380244
FDE21,OUT035,2038.188818537352
NCR42,OUT019,0.0
FDX51,OUT018,2836.2249738862997
NCR06,OUT018,444.53090785684896
FDU31,OUT027,5470.975803940643
FDU59,OUT017,2600.76348785817
FDR03,OUT027,5391.515322919714
FDS49,OUT027,2216.6705737450748
FDD48,OUT010,308.3905632372607
NCF18,OUT017,3127.748884267782
NCD43,OUT027,2653.9702510134625
NCD54,OUT018,1781.125487290827
FDY19,OUT010,302.5963801397749
NCY54,OUT017,2714.1193660053373
NCL19,OUT018,2228.7946599033057
FDP23,OUT010,763.2227227566268
FDC26,OUT013,1751.4237758210334
FDR14,OUT010,0.0
NCS41,OUT035,3272.721445235142
FDF41,OUT035,3916.6610546036586
FDU34,OUT046,1993.8073294038884
DRH11,OUT046,981.5895301288353
FDM03,OUT013,1689.7061991297967
FDS31,OUT017,3094.4965801826293
FDJ20,OUT017,2061.0338331764524
FDV44,OUT027,5150.744554179702
FDG02,OUT049,3123.8428864830166
FDA09,OUT013,3151.76966410815
FDT04,OUT013,623.2659296799618
FDL58,OUT019,772.5459708279284
FDE52,OUT045,1345.6894282815194
FDW12,OUT035,2503.3469835015144
FDL51,OUT017,3514.79374726848
NCY42,OUT027,3360.546514983839
FDR07,OUT017,1847.7628833693598
FDN40,OUT045,2362.663350291643
FDB35,OUT027,2360.6609103319593
FDA22,OUT017,2715.989366885349
NCL06,OUT046,4018.081267824276
FDI35,OUT013,3048.9637444713517
NCW42,OUT045,3676.7116951759285
NCX06,OUT049,2987.51717718327
FDC37,OUT027,2620.8745376475717
FDZ14,OUT018,1724.7969606455085
DRG49,OUT049,3878.5456542594306
NCG06,OUT045,3994.8902888056004
DRC36,OUT045,2903.0767736397875
FDV21,OUT019,312.4633409690578
FDB53,OUT046,2440.096111953132
DRP47,OUT019,678.9220813244068
FDA14,OUT013,2434.291060240775
DRC24,OUT035,2592.551018286667
FDW21,OUT018,1386.6254328843459
NCH29,OUT046,1647.823852563415
FDU58,OUT013,3198.584976586695
FDY27,OUT017,3009.5655678445355
FDV56,OUT035,1762.1283493697272
FDT59,OUT046,3826.735221698115
FDB23,OUT046,3524.5103060316073
FDR49,OUT045,698.0995454549385
FDB03,OUT010,582.357370767026
FDN39,OUT045,2719.324130575417
FDX02,OUT027,5681.975324735668
FDQ16,OUT027,2660.6270351120424
FDU35,OUT018,1347.7664116070378
NCT29,OUT013,1990.2183314372733
FDZ27,OUT046,855.9443497177424
FDN57,OUT017,2142.4987673809114
FDA03,OUT018,2199.1430493112043
FDZ36,OUT045,3107.1468712933593
NCU05,OUT013,1221.1789465764741
FDT39,OUT018,2132.073435448682
FDK60,OUT017,1621.90146397458
FDZ25,OUT017,2841.0610397225514
FDG12,OUT046,2057.598413132835
DRB01,OUT019,667.0053743872209
NCC43,OUT027,5802.9673624951265
FDX13,OUT019,905.0509666447163
FDM22,OUT049,962.9048764249585
FDJ03,OUT027,1409.4531566212659
FDU14,OUT018,3708.390364482809
FDB33,OUT010,457.12983119796536
FDP27,OUT046,3122.4061614957836
FDO38,OUT010,183.24849046480057
FDE28,OUT027,5737.436075200352
FDO27,OUT035,1609.1146243297608
DRL23,OUT027,2660.014289488175
FDS28,OUT046,988.9113763259687
FDX24,OUT013,1507.3718025757341
FDZ02,OUT035,1610.1791066069723
FDL46,OUT045,1721.4766304801249
FDS60,OUT027,4702.009226239905
NCO06,OUT017,686.2003485371519
FDO16,OUT035,1502.1849779106124
FDC60,OUT049,1537.0206030879474
FDA48,OUT018,3207.287911596942
FDZ36,OUT027,5069.2269062816595
FDK27,OUT045,1970.7507389242944
FDW23,OUT018,495.0616750208111
FDM14,OUT018,1511.4696490741846
FDM14,OUT013,1698.2415870356317
FDW60,OUT018,2634.2112623095886
FDE21,OUT013,1975.4581508056547
NCM42,OUT035,1738.8826344211745
FDY59,OUT010,200.2363228515311
DRI49,OUT049,1259.7755008665442
FDT28,OUT019,307.1208977398521
FDQ22,OUT018,438.6344059371141
FDR60,OUT049,1351.2242325283137
FDC50,OUT019,269.47117458784857
FDV24,OUT013,2318.942620667118
DRF48,OUT010,494.96033908175525
FDQ47,OUT046,712.5271782480659
DRN36,OUT049,1566.1444646859845
NCY06,OUT035,2104.8805440141114
FDE52,OUT035,1504.3574954255537
NCB54,OUT045,1935.7887317779039
NCF31,OUT035,2466.8062128784723
FDJ08,OUT027,5011.935416949731
NCC07,OUT017,1720.451694705886
NCD19,OUT027,1675.156519234536
FDL46,OUT049,1966.7452794233661
FDM20,OUT045,3956.494199380233
NCI06,OUT010,482.17636278499543
DRM11,OUT035,4197.381064430847
NCH07,OUT018,2418.5659149758503
FDS23,OUT013,2110.2558996542157
FDO49,OUT018,553.1148489469075
FDS35,OUT049,1160.1148458474768
DRK39,OUT045,1234.0015094948562
DRI39,OUT049,1018.1011037675013
FDV04,OUT017,2626.7730439413067
NCN14,OUT035,3180.5176495969704
FDH08,OUT013,3991.2197258306073
FDS20,OUT046,3117.222506564229
FDV40,OUT049,1270.5890805831561
FDZ48,OUT010,261.5019092188336
FDS24,OUT027,2265.150255344123
FDK44,OUT049,2814.588997611789
FDS48,OUT045,2482.7745248917972
FDK26,OUT010,592.5507257426765
FDD23,OUT045,3189.843751868079
NCH54,OUT017,2694.1562184611576
NCP14,OUT010,385.8335831165913
FDM60,OUT010,0.0
FDV24,OUT017,2405.23407036744
FDH08,OUT018,3333.321522369211
FDS12,OUT027,3308.1410541030773
FDR39,OUT027,4857.662307764165
FDP12,OUT027,1130.5554074330921
DRF60,OUT027,5816.364714609555
FDC09,OUT035,1795.3729440905006
FDF50,OUT018,2878.0909586160096
FDG28,OUT035,4086.937289911818
NCE19,OUT017,911.8214166948911
NCM53,OUT010,246.80593006888327
NCN18,OUT049,1796.773486345378
FDF32,OUT035,3360.616455419016
FDF11,OUT013,4104.000442189937
DRI59,OUT049,3787.2195226138324
NCG54,OUT035,2729.7324043093236
FDM44,OUT046,1705.1616941391094
FDT57,OUT018,3414.732375652531
FDV24,OUT046,2317.3038999550977
FDI50,OUT019,890.8320682800313
FDS09,OUT035,863.5663497155737
NCC31,OUT027,3805.24581064853
FDQ07,OUT019,757.6934206848371
FDC22,OUT017,3225.660855334111
FDZ56,OUT046,2683.797419476107
FDZ40,OUT019,12.249125419735329
FDS46,OUT027,2947.1670366361977
DRD24,OUT045,2143.616207006587
FDV45,OUT017,3208.3371964724347
FDL26,OUT045,2460.800072114858
FDA56,OUT018,1727.3041805018522
FDN27,OUT046,1582.6782950598974
FDM20,OUT049,3955.630591121309
FDO16,OUT017,1444.6006382760413
FDL03,OUT035,3268.3427180757267
FDE58,OUT046,1828.1447732038166
FDI02,OUT027,2992.2989238349614
NCC55,OUT019,0.0
FDR03,OUT018,3066.77516836254
FDB14,OUT017,1546.4775425483272
FDR45,OUT013,3953.513322910201
NCN07,OUT017,2187.343759887059
FDM51,OUT019,239.83464005553574
FDT52,OUT027,6057.442025972596
FDL26,OUT046,2405.9055783725094
NCZ42,OUT046,3812.6073164672134
DRI47,OUT019,322.653050708725
FDW40,OUT013,2178.564568200184
FDN34,OUT046,2777.4134494154364
FDS01,OUT035,3074.205213340566
NCG55,OUT045,1881.6096691497355
FDC11,OUT035,1417.8773739535739
FDX35,OUT018,3452.1916057952667
NCB06,OUT046,2560.2869567014423
FDR09,OUT019,771.3818040766672
FDC53,OUT017,1589.8273135793356
FDY45,OUT013,4255.344079113944
FDA22,OUT010,500.51586191526553
FDE02,OUT035,1591.622017418396
FDW21,OUT045,1630.7183774662617
FDV34,OUT046,1201.738319121939
FDS59,OUT049,1734.5671501036993
NCW17,OUT017,2184.5983377357907
NCK54,OUT046,1911.0372422797855
FDG17,OUT019,842.0574048210138
FDG35,OUT017,2836.4688994819226
FDD08,OUT010,0.0
NCO07,OUT017,3725.2709514036756
FDJ10,OUT010,376.0541873208964
FDW36,OUT017,1682.6768960887575
FDW21,OUT010,329.92217667467713
FDY19,OUT017,1975.9074657270507
DRE03,OUT013,736.2377560483841
NCC55,OUT049,765.0656475086379
FDH52,OUT010,56.90958358981603
FDO09,OUT017,4330.081105730313
FDU43,OUT045,3849.0617498666843
FDX09,OUT010,491.432993604165
FDH40,OUT019,224.94928948984833
FDW58,OUT017,1708.4637015960955
FDC47,OUT017,3834.1177289263214
NCR41,OUT035,1675.4051665232862
DRG49,OUT035,4016.813870430103
FDC52,OUT027,3729.578697828184
FDY13,OUT046,1261.839514910697
FDY35,OUT013,671.5732288584223
FDI35,OUT017,3300.631021056613
NCU18,OUT049,2235.609573116922
FDY33,OUT018,2412.2331697276536
FDC15,OUT027,4037.622358908464
FDU01,OUT049,3159.110901524003
NCU42,OUT046,2707.3319310755946
NCV29,OUT018,2639.3331309564737
NCY30,OUT017,3169.870724969985
FDQ46,OUT049,1846.0819755848609
FDG58,OUT027,3742.817423796282
FDK33,OUT017,3670.8029453253635
NCD07,OUT045,1783.1034942562821
NCX29,OUT027,3678.348556769039
NCT42,OUT013,2397.666355371503
DRN59,OUT035,833.0687645890944
FDI44,OUT035,1356.0725254657336
FDA45,OUT049,2364.4546782385437
FDP31,OUT045,639.8913792319436
FDY01,OUT046,1841.2921573428853
FDT09,OUT018,1847.4182075368385
DRH03,OUT027,2520.330696788707
FDA36,OUT018,2645.7875075476773
NCF31,OUT017,2473.043659192759
FDG14,OUT049,2443.117645423932
FDG28,OUT027,6053.610383544777
FDU14,OUT049,3935.5182613823763
FDY47,OUT019,387.6088158061389
FDI56,OUT049,1428.7734545614153
DRD01,OUT013,840.0519968433462
FDM22,OUT046,1016.7041328512396
FDH33,OUT013,702.1905749002522
DRZ24,OUT013,1837.9301311402962
NCQ38,OUT046,1691.833352774397
FDO16,OUT027,2304.6973366328343
FDU07,OUT027,3687.0723336157407
NCB07,OUT013,3009.5112801008595
FDU48,OUT045,2004.185825397926
NCM43,OUT045,2677.2283867435426
FDR31,OUT010,369.0153018141251
DRK49,OUT018,418.2989121323413
NCI30,OUT010,774.419589070569
DRD60,OUT017,3095.2632239946665
NCG19,OUT046,3536.703248012585
FDH12,OUT035,1719.882102681035
FDM32,OUT035,1628.6425603904027
FDM27,OUT035,2536.1292953688576
NCU53,OUT027,4152.123027951569
NCQ18,OUT046,1628.6918372252683
FDS10,OUT013,2883.5559175740714
FDB33,OUT027,4073.87728666353
FDI12,OUT013,1376.5490811023099
NCW42,OUT013,3749.432383261199
NCC06,OUT018,1761.1882966211217
FDW02,OUT017,2169.8469552215793
NCD43,OUT017,1722.524587922069
FDM57,OUT018,1083.0119889124219
FDA58,OUT017,3849.7576983965305
FDK56,OUT046,3116.7329545065604
FDP52,OUT045,3920.1194928319824
FDW20,OUT018,1828.724324696665
FDS52,OUT049,1666.5775006946271
NCT29,OUT018,1737.1374733111315
NCL54,OUT013,2878.0485168445216
FDC05,OUT045,3133.898886713846
FDF34,OUT035,3279.5578272737916
FDP03,OUT027,3147.7226838984984
FDD32,OUT010,161.38936532151047
FDZ10,OUT045,2065.439510588116
FDZ40,OUT035,954.4381211760143
FDD51,OUT018,503.58948798156126
NCY30,OUT019,547.4895017161023
FDP58,OUT017,3541.535092695219
FDV49,OUT017,4251.76073090561
FDY24,OUT019,54.64112060909945
NCO55,OUT017,1729.1840870275696
FDR13,OUT017,1956.6999167367214
FDS51,OUT017,1031.4409320841455
FDP26,OUT045,1580.1789499003135
NCB54,OUT027,3259.7933377535314
FDF32,OUT017,3226.613710908593
FDN31,OUT018,2808.3762930816774
DRM48,OUT017,690.0620921787452
FDN20,OUT049,2686.0310952259715
DRL01,OUT046,3759.839988217057
FDV56,OUT049,1722.041815490114
DRH13,OUT027,2616.9553197518158
FDA03,OUT017,2558.956269416987
FDF47,OUT027,5369.370073585138
FDX32,OUT046,2456.732558118574
FDX57,OUT049,1597.8646235019653
NCA30,OUT045,3014.1881787839166
FDO49,OUT013,746.3963263921028
FDL04,OUT019,282.8720342634686
DRM48,OUT035,743.3304792087954
FDR16,OUT013,3426.600093995158
NCC19,OUT018,2878.864399876232
NCE42,OUT045,3308.158184489591
FDY24,OUT017,1015.5999894946916
FDH19,OUT049,2793.383532555992
FDJ46,OUT013,2817.131035685144
FDN45,OUT010,454.3630294999101
FDY08,OUT035,2105.6737598161503
FDZ37,OUT035,1489.8879266678978
NCT30,OUT045,733.01164047605
DRY23,OUT018,477.7173523355944
NCZ30,OUT018,1735.5747961131626
FDC44,OUT018,1740.7142070745924
FDB45,OUT035,1545.5075348997518
FDY04,OUT013,2628.494895784503
FDM27,OUT046,2633.984018840257
FDZ43,OUT017,4042.3999296672814
FDT39,OUT019,326.5343282699611
NCC06,OUT019,362.5417243446136
FDL15,OUT027,3751.135617068619
FDL57,OUT017,4192.306973904829
FDU08,OUT046,1568.9583423649995
FDK40,OUT017,4243.584312354165
