Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1699.7185
FDW14,OUT017,1425.3912
NCN55,OUT010,645.3241
FDQ58,OUT017,2432.9897
FDY38,OUT027,5856.9937
FDH56,OUT046,1924.5679
FDL48,OUT018,770.3706
FDC48,OUT027,2122.4775
FDN33,OUT045,1566.4015
FDA36,OUT017,3119.5815
FDT44,OUT017,1922.7401
FDQ56,OUT045,1509.5157
NCC54,OUT019,681.7268
FDU11,OUT049,2062.912
DRL59,OUT013,852.6107
FDM24,OUT049,2393.0767
FDI57,OUT045,3029.3115
DRC12,OUT018,2826.7832
NCM42,OUT027,3196.7615
FDA46,OUT010,490.20917
FDA31,OUT013,2780.034
NCJ31,OUT035,3696.5564
FDG52,OUT046,863.47217
NCL19,OUT019,470.4493
FDS10,OUT035,2998.143
FDX22,OUT010,643.7347
NCF19,OUT035,891.4532
NCE06,OUT046,2535.7122
DRC27,OUT046,3848.1335
FDE21,OUT035,2083.6946
NCR42,OUT019,208.36856
FDX51,OUT018,2841.278
NCR06,OUT018,596.0483
FDU31,OUT027,5376.9043
FDU59,OUT017,2444.4724
FDR03,OUT027,5161.5415
FDS49,OUT027,2210.3508
FDD48,OUT010,370.31165
NCF18,OUT017,3164.9797
NCD43,OUT027,2533.1655
NCD54,OUT018,1804.6664
FDY19,OUT010,391.85263
NCY54,OUT017,2737.7993
NCL19,OUT018,2187.0398
FDP23,OUT010,583.9804
FDC26,OUT013,1798.2136
FDR14,OUT010,283.97015
NCS41,OUT035,3141.7256
FDF41,OUT035,3818.2312
FDU34,OUT046,2058.33
DRH11,OUT046,967.4376
FDM03,OUT013,1721.3055
FDS31,OUT017,3027.2493
FDJ20,OUT017,1980.7115
FDV44,OUT027,4977.388
FDG02,OUT049,3077.0334
FDA09,OUT013,2982.1611
FDT04,OUT013,744.0405
FDL58,OUT019,706.2774
FDE52,OUT045,1410.1779
FDW12,OUT035,2397.0996
FDL51,OUT017,3453.8906
NCY42,OUT027,3390.8083
FDR07,OUT017,1696.5647
FDN40,OUT045,2349.856
FDB35,OUT027,2369.6572
FDA22,OUT017,2714.943
NCL06,OUT046,3889.6462
FDI35,OUT013,3180.7234
NCW42,OUT045,3649.403
NCX06,OUT049,2969.5247
FDC37,OUT027,2477.1238
FDZ14,OUT018,1825.9482
DRG49,OUT049,3841.673
NCG06,OUT045,3760.0784
DRC36,OUT045,2868.1047
FDV21,OUT019,418.21765
FDB53,OUT046,2528.6206
DRP47,OUT019,706.55786
FDA14,OUT013,2460.062
DRC24,OUT035,2530.5361
FDW21,OUT018,1614.5221
NCH29,OUT046,1890.0193
FDU58,OUT013,3030.2588
FDY27,OUT017,2866.3892
FDV56,OUT035,1769.7441
FDT59,OUT046,3792.7754
FDB23,OUT046,3494.327
FDR49,OUT045,850.74396
FDB03,OUT010,647.4774
FDN39,OUT045,2695.3364
FDX02,OUT027,5512.8174
